ts_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
8.997,0.08,-0.04,0.92,-1.02,2.1,0.06
9.017,0.08,-0.03,0.92,-1.1,2.21,0.01
9.037,0.08,-0.04,0.92,-1.02,2.19,0.06
9.057,0.08,-0.03,0.92,-1.03,2.2,-0.08
9.077,0.08,-0.03,0.92,-1.05,2.22,0.04
9.097,0.08,-0.03,0.92,-1.06,2.31,-0.03
9.117,0.08,-0.03,0.92,-1.03,2.18,-0.05
9.137,0.08,-0.04,0.92,-1.09,2.24,0.01
9.157,0.08,-0.03,0.92,-1.06,2.24,0.01
9.177,0.08,-0.04,0.92,-1.08,2.24,0.08
9.197,0.08,-0.04,0.92,-1.02,2.22,0.01
9.217,0.08,-0.04,0.92,-1.05,2.16,0
9.237,0.08,-0.03,0.92,-1.01,2.24,-0.02
9.257,0.08,-0.03,0.92,-1.02,2.25,0.03
9.277,0.08,-0.04,0.92,-1.03,2.15,0.03
9.297,0.08,-0.03,0.92,-1.08,2.22,-0.01
9.317,0.08,-0.04,0.92,-1.03,2.25,-0.04
9.337,0.08,-0.04,0.92,-0.99,2.19,0.02
9.357,0.08,-0.03,0.92,-0.97,2.22,0.02
9.377,0.08,-0.03,0.92,-1.05,2.31,0.01
9.397,0.08,-0.03,0.92,-1.02,2.23,0
9.417,0.08,-0.03,0.92,-1.05,2.19,-0.04
9.437,0.08,-0.03,0.92,-0.99,2.22,0
9.457,0.08,-0.04,0.92,-1,2.25,0.01
9.477,0.08,-0.03,0.92,-1.02,2.21,-0.03
9.497,0.08,-0.03,0.92,-1.02,2.21,-0.02
9.517,0.08,-0.03,0.92,-1.05,2.23,-0.02
9.537,0.08,-0.03,0.92,-1.04,2.23,-0.03
9.558,0.08,-0.04,0.92,-1.06,2.25,-0.04
9.577,0.08,-0.03,0.92,-1.05,2.26,0.01
9.597,0.08,-0.03,0.91,-1.06,2.27,-0.01
9.617,0.08,-0.04,0.92,-1.08,2.35,0
9.637,0.08,-0.03,0.92,-1.06,2.34,-0.02
9.657,0.08,-0.04,0.92,-1.04,2.29,0
9.677,0.08,-0.03,0.92,-1.02,2.29,0.04
9.697,0.08,-0.03,0.92,-1.09,2.08,-0.02
9.717,0.08,-0.04,0.92,-1.06,2.24,-0.04
9.737,0.08,-0.03,0.92,-1.03,2.2,-0.02
9.757,0.08,-0.04,0.92,-0.97,2.24,-0.03
9.777,0.08,-0.04,0.92,-1.01,2.18,0.05
9.797,0.08,-0.03,0.92,-0.98,2.16,0.04
9.817,0.08,-0.04,0.92,-1.01,2.26,-0.02
9.837,0.08,-0.03,0.92,-1.02,2.21,0.02
9.857,0.08,-0.04,0.92,-1.08,2.21,-0.03
9.877,0.08,-0.04,0.92,-1.03,2.24,-0.02
9.897,0.08,-0.03,0.92,-1.02,2.22,0.02
